Ingredient,Function,Group
nannochloropsis oculata powder,abrasive,Cleansing and Purifying
papaver rhoeas seed,abrasive,Cleansing and Purifying
momordica charantia leaf powder,abrasive,Cleansing and Purifying
ethyl lactyl retinoate,abrasive,Cleansing and Purifying
vaccinium corymbosum seed,abrasive,Cleansing and Purifying
"1,4-butanediol/succinic acid/adipic acid/hdi copolymer",abrasive,Cleansing and Purifying
pinus pinaster seedcake powder,abrasive,Cleansing and Purifying
momordica charantia leaf extract,abrasive,Cleansing and Purifying
hydroxybutyric acid/hydroxypentanoic acid copolymer,abrasive,Cleansing and Purifying
yokuinin,abrasive,Cleansing and Purifying
kurumi kaku,abrasive,Cleansing and Purifying
prunus mume seed powder,abrasive,Cleansing and Purifying
feldspar powder,abrasive,Cleansing and Purifying
emerald,abrasive,Cleansing and Purifying
citrus unshiu flower powder,abrasive,Cleansing and Purifying
crataegus monogyna powder,abrasive,Cleansing and Purifying
sedimentary rock powder,abrasive,Cleansing and Purifying
siraitia grosvenorii fruit powder,abrasive,Cleansing and Purifying
silkworm frass,abrasive,Cleansing and Purifying
aluminum isopropoxide,abrasive,Cleansing and Purifying
euterpe oleracea seed powder,abrasive,Cleansing and Purifying
pinus pinaster bark powder,abrasive,Cleansing and Purifying
lactide,abrasive,Cleansing and Purifying
castanea crenata pellicle powder,abrasive,Cleansing and Purifying
wollastonite,abrasive,Cleansing and Purifying
schist,abrasive,Cleansing and Purifying
sodalite powder,abrasive,Cleansing and Purifying
alexandrite powder,abrasive,Cleansing and Purifying
limonia acidissima shell powder,abrasive,Cleansing and Purifying
arrabidaea chica leaf powder,abrasive,Cleansing and Purifying
eugenia uniflora leaf powder,abrasive,Cleansing and Purifying
glycol/sebacic acid copolymer,abrasive,Cleansing and Purifying
lithothamnion calcareum powder,abrasive,Cleansing and Purifying
anacardium occidentale peduncle fiber,abrasive,Cleansing and Purifying
centaurea cyanus seed,abrasive,Cleansing and Purifying
annona muricata seedcake powder,abrasive,Cleansing and Purifying
carapa guianensis seed powder,abrasive,Cleansing and Purifying
nasturtium officinale leaf powder,abrasive,Cleansing and Purifying
acer rubrum bark powder,abrasive,Cleansing and Purifying
lithothamnion corallioides powder,abrasive,Cleansing and Purifying
"1,4-butanediol/succinic acid/adipic acid copolymer",abrasive,Cleansing and Purifying
polypropanediol-2,abrasive,Cleansing and Purifying
sclerocarya birrea seedcake,abrasive,Cleansing and Purifying
prunus armeniaca shell powder,abrasive,Cleansing and Purifying
beta vulgaris root pulp powder,abrasive,Cleansing and Purifying
calophyllum inophyllum seedcake powder,abrasive,Cleansing and Purifying
hymenaea courbaril seedcoat powder,abrasive,Cleansing and Purifying
marliolide ethyl ether,abrasive,Cleansing and Purifying
tungsten disulfide,abrasive,Cleansing and Purifying
hippophae rhamnoides husk powder,abrasive,Cleansing and Purifying
oenothera biennis seed,abrasive,Cleansing and Purifying
olea europaea husk powder,abrasive,Cleansing and Purifying
magnesium sodium fluorosilicate,abrasive,Cleansing and Purifying
citrullus lanatus seed powder,abrasive,Cleansing and Purifying
passiflora edulis seed powder,abrasive,Cleansing and Purifying
polylactic acid,abrasive,Cleansing and Purifying
triticum vulgare bran,abrasive,Cleansing and Purifying
carapa guaianensis seed powder,abrasive,Cleansing and Purifying
chalk,abrasive,Cleansing and Purifying
vanilla planifolia seed powder,abrasive,Cleansing and Purifying
coffea arabica seed powder,abrasive,Cleansing and Purifying
argania spinosa shell powder,abrasive,Cleansing and Purifying
citrullus lanatus seed,abrasive,Cleansing and Purifying
silicon,abrasive,Cleansing and Purifying
humidophila sp. kas 1307,abrasive,Cleansing and Purifying
radium ore powder,abrasive,Cleansing and Purifying
achras sapota seed oil,abrasive,Cleansing and Purifying
urtica dioica leaf powder,abrasive,Cleansing and Purifying
orbignya phalerata mesocarp powder,abrasive,Cleansing and Purifying
avena sativa hull fiber,abrasive,Cleansing and Purifying
charcoal,abrasive,Cleansing and Purifying
europium/yttrium oxide sulfide,abrasive,Cleansing and Purifying
camellia japonica peel powder,abrasive,Cleansing and Purifying
vaccinium vitis-idaea seedcake powder,abrasive,Cleansing and Purifying
moroccan lava clay,absorbent,Cleansing and Purifying
paecilomyces japonica/grape/cucumber juice extract ferment filtrate,absorbent,Cleansing and Purifying
magnesium silicate,absorbent,Cleansing and Purifying
hydrolyzed caesalpinia spinosa gum,absorbent,Cleansing and Purifying
charcoal powder,absorbent,Cleansing and Purifying
bentonite,absorbent,Cleansing and Purifying
solum diatomeae,absorbent,Cleansing and Purifying
solum fullonum,absorbent,Cleansing and Purifying
calcium silicate,absorbent,Cleansing and Purifying
magnesium trisilicate,absorbent,Cleansing and Purifying
