Ingredient,Function
quercus suber bark,abrasive
oyster shell powder,abrasive
sea salt,abrasive
calcium trifluoroacetate,abrasive
honey powder,abrasive
salix alba bark powder,abrasive
tetrahydrojasmonic acid,abrasive
methacryloyloxypropyl polysilsesquioxane,abrasive
tungsten oxide,abrasive
3-hydroxybutyrate/4-hydroxybutyrate copolymer,abrasive
phyllostachys edulis stem powder,abrasive
carbonado extract,abrasive
thuja orientalis branch/leaf powder,abrasive
myristica fragrans shell powder,abrasive
calcium potassium sodium phosphate,abrasive
vaccinium myrtillus seedcake powder,abrasive
anthracite extract,abrasive
nannochloropsis oculata powder,abrasive
papaver rhoeas seed,abrasive
momordica charantia leaf powder,abrasive
ethyl lactyl retinoate,abrasive
vaccinium corymbosum seed,abrasive
"1,4-butanediol/succinic acid/adipic acid/hdi copolymer",abrasive
pinus pinaster seedcake powder,abrasive
momordica charantia leaf extract,abrasive
hydroxybutyric acid/hydroxypentanoic acid copolymer,abrasive
yokuinin,abrasive
kurumi kaku,abrasive
prunus mume seed powder,abrasive
feldspar powder,abrasive
emerald,abrasive
citrus unshiu flower powder,abrasive
crataegus monogyna powder,abrasive
sedimentary rock powder,abrasive
siraitia grosvenorii fruit powder,abrasive
silkworm frass,abrasive
aluminum isopropoxide,abrasive
euterpe oleracea seed powder,abrasive
pinus pinaster bark powder,abrasive
lactide,abrasive
castanea crenata pellicle powder,abrasive
wollastonite,abrasive
schist,abrasive
sodalite powder,abrasive
alexandrite powder,abrasive
limonia acidissima shell powder,abrasive
arrabidaea chica leaf powder,abrasive
eugenia uniflora leaf powder,abrasive
glycol/sebacic acid copolymer,abrasive
lithothamnion calcareum powder,abrasive
anacardium occidentale peduncle fiber,abrasive
centaurea cyanus seed,abrasive
annona muricata seedcake powder,abrasive
carapa guianensis seed powder,abrasive
nasturtium officinale leaf powder,abrasive
acer rubrum bark powder,abrasive
lithothamnion corallioides powder,abrasive
"1,4-butanediol/succinic acid/adipic acid copolymer",abrasive
polypropanediol-2,abrasive
sclerocarya birrea seedcake,abrasive
prunus armeniaca shell powder,abrasive
beta vulgaris root pulp powder,abrasive
calophyllum inophyllum seedcake powder,abrasive
hymenaea courbaril seedcoat powder,abrasive
marliolide ethyl ether,abrasive
tungsten disulfide,abrasive
hippophae rhamnoides husk powder,abrasive
oenothera biennis seed,abrasive
olea europaea husk powder,abrasive
magnesium sodium fluorosilicate,abrasive
citrullus lanatus seed powder,abrasive
passiflora edulis seed powder,abrasive
polylactic acid,abrasive
triticum vulgare bran,abrasive
carapa guaianensis seed powder,abrasive
chalk,abrasive
vanilla planifolia seed powder,abrasive
coffea arabica seed powder,abrasive
argania spinosa shell powder,abrasive
citrullus lanatus seed,abrasive
silicon,abrasive
humidophila sp. kas 1307,abrasive
radium ore powder,abrasive
achras sapota seed oil,abrasive
urtica dioica leaf powder,abrasive
orbignya phalerata mesocarp powder,abrasive
avena sativa hull fiber,abrasive
charcoal,abrasive
europium/yttrium oxide sulfide,abrasive
camellia japonica peel powder,abrasive
vaccinium vitis-idaea seedcake powder,abrasive
