Ingredient,Function,Group
pumice,abrasive,Cleansing and Exfoliating
astragalus membranaceus root powder,abrasive,Cleansing and Exfoliating
lactobacillus/papaya fruit ferment extract,abrasive,Cleansing and Exfoliating
linum usitatissimum seed flour,abrasive,Cleansing and Exfoliating
corylus avellana seed powder,abrasive,Cleansing and Exfoliating
luffa cylindrica fruit powder,abrasive,Cleansing and Exfoliating
illite,abrasive,Cleansing and Exfoliating
cymbopogon flexuosus leaf powder,abrasive,Cleansing and Exfoliating
hydrogenated jojoba oil,abrasive,Cleansing and Exfoliating
cycas revoluta leaf powder,abrasive,Cleansing and Exfoliating
sodium calcium copper phosphate,abrasive,Cleansing and Exfoliating
porphyra umbilicalis powder,abrasive,Cleansing and Exfoliating
plantago psyllium husk,abrasive,Cleansing and Exfoliating
citrus nobilis peel powder,abrasive,Cleansing and Exfoliating
theobroma grandiflorum seed powder,abrasive,Cleansing and Exfoliating
amburana cearensis seed oil,abrasive,Cleansing and Exfoliating
hydrogenated poly(c6-20 olefin),abrasive,Cleansing and Exfoliating
glycine max seed powder,abrasive,Cleansing and Exfoliating
carya illinoensis shell powder,abrasive,Cleansing and Exfoliating
avena sativa bran,abrasive,Cleansing and Exfoliating
ethylene/propylene copolymer,abrasive,Cleansing and Exfoliating
nephrite powder,abrasive,Cleansing and Exfoliating
euterpe oleracea pulp powder,abrasive,Cleansing and Exfoliating
citrus tangerina peel,abrasive,Cleansing and Exfoliating
hordeum distichon seed flour,abrasive,Cleansing and Exfoliating
sillimanite,abrasive,Cleansing and Exfoliating
colloidal oatmeal,abrasive,Cleansing and Exfoliating
vaccinium angustifolium seed,abrasive,Cleansing and Exfoliating
marble powder,abrasive,Cleansing and Exfoliating
juniperus oxycedrus wood powder,abrasive,Cleansing and Exfoliating
sodium tetrahydrojasmonate,abrasive,Cleansing and Exfoliating
sodium calcium zinc phosphate,abrasive,Cleansing and Exfoliating
persea gratissima seed,abrasive,Cleansing and Exfoliating
chitin,abrasive,Cleansing and Exfoliating
attapulgite,abrasive,Cleansing and Exfoliating
theobroma cacao seed powder,abrasive,Cleansing and Exfoliating
avena sativa kernel extract,abrasive,Cleansing and Exfoliating
scutellaria baicalensis root powder,abrasive,Cleansing and Exfoliating
hippophae rhamnoides seed powder,abrasive,Cleansing and Exfoliating
mudstone powder,abrasive,Cleansing and Exfoliating
diamond powder,abrasive,Cleansing and Exfoliating
prunus amygdalus dulcis seed meal,abrasive,Cleansing and Exfoliating
prunus amygdalus dulcis shell powder,abrasive,Cleansing and Exfoliating
luffa cylindrica,abrasive,Cleansing and Exfoliating
zea mays cob meal,abrasive,Cleansing and Exfoliating
sodium calcium boron phosphate,abrasive,Cleansing and Exfoliating
calcium sulfate,abrasive,Cleansing and Exfoliating
symphytum officinale leaf powder,abrasive,Cleansing and Exfoliating
sanguisorba officinalis root/stalk powder,abrasive,Cleansing and Exfoliating
avena sativa kernel meal,abrasive,Cleansing and Exfoliating
angelica dahurica seed powder,abrasive,Cleansing and Exfoliating
nigella damascena seed powder,abrasive,Cleansing and Exfoliating
acidophilus/grape ferment filtrate,abrasive,Cleansing and Exfoliating
argilla,abrasive,Cleansing and Exfoliating
ipomoea hederacea seed powder,abrasive,Cleansing and Exfoliating
avena sativa bran extract,abrasive,Cleansing and Exfoliating
ostrea shell powder,abrasive,Cleansing and Exfoliating
lignum powder,abrasive,Cleansing and Exfoliating
cicer arietinum seed powder,abrasive,Cleansing and Exfoliating
olea europaea seed powder,abrasive,Cleansing and Exfoliating
prunus persica flower powder,abrasive,Cleansing and Exfoliating
stemona sessifolia root powder,abrasive,Cleansing and Exfoliating
rosa canina seed powder,abrasive,Cleansing and Exfoliating
vaccinium macrocarpon seed powder,abrasive,Cleansing and Exfoliating
poria cocos powder,abrasive,Cleansing and Exfoliating
pyrophyllite,abrasive,Cleansing and Exfoliating
ampelopsis japonica root powder,abrasive,Cleansing and Exfoliating
sclerocarya birrea seed powder,abrasive,Cleansing and Exfoliating
rubus idaeus seed,abrasive,Cleansing and Exfoliating
titanium oxynitride,abrasive,Cleansing and Exfoliating
lygodium japonicum spore,abrasive,Cleansing and Exfoliating
hydrolyzed opuntia ficus-indica flower extract,abrasive,Cleansing and Exfoliating
vanilla tahitensis seed,abrasive,Cleansing and Exfoliating
juglans regia leaf,abrasive,Cleansing and Exfoliating
sodium silicoaluminate,abrasive,Cleansing and Exfoliating
coral powder,abrasive,Cleansing and Exfoliating
